file,line,theme,classes,fg_hex,bg_hex,contrast,passes
app\page.tsx,840,light,"mb-6 space-y-3",#0f172a,#ffffff,17.85,PASS
app\page.tsx,840,dark,"mb-6 space-y-3",#e6eef8,#0b1220,16,PASS
app\page.tsx,885,light,"mb-6",#0f172a,#ffffff,17.85,PASS
app\page.tsx,885,dark,"mb-6",#e6eef8,#0b1220,16,PASS
app\page.tsx,886,light,"mb-2 block text-sm font-semibold text-gray-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,886,dark,"mb-2 block text-sm font-semibold text-gray-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,889,light,"flex flex-wrap gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,889,dark,"flex flex-wrap gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,916,light,"mb-6",#0f172a,#ffffff,17.85,PASS
app\page.tsx,916,dark,"mb-6",#e6eef8,#0b1220,16,PASS
app\page.tsx,917,light,"mb-2 block text-sm font-semibold text-gray-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,917,dark,"mb-2 block text-sm font-semibold text-gray-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,920,light,"grid grid-cols-2 gap-2 sm:grid-cols-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,920,dark,"grid grid-cols-2 gap-2 sm:grid-cols-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,958,light,"w-full rounded-xl bg-gradient-to-r from-blue-600 to-indigo-600 px-6 py-4 text-base font-bold text-white shadow-lg transition-all hover:from-blue-700 hover:to-indigo-700 hover:shadow-xl disabled:cursor-not-allowed disabled:opacity-60 disabled:hover:from-blue-600 disabled:hover:to-indigo-600",#0f172a,#ffffff,17.85,PASS
app\page.tsx,958,dark,"w-full rounded-xl bg-gradient-to-r from-blue-600 to-indigo-600 px-6 py-4 text-base font-bold text-white shadow-lg transition-all hover:from-blue-700 hover:to-indigo-700 hover:shadow-xl disabled:cursor-not-allowed disabled:opacity-60 disabled:hover:from-blue-600 disabled:hover:to-indigo-600",#e6eef8,#0b1220,16,PASS
app\page.tsx,961,light,"flex items-center justify-center gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,961,dark,"flex items-center justify-center gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,962,light,"h-5 w-5 animate-spin rounded-full border-2 border-white border-t-transparent",#0f172a,#ffffff,17.85,PASS
app\page.tsx,962,dark,"h-5 w-5 animate-spin rounded-full border-2 border-white border-t-transparent",#e6eef8,#0b1220,16,PASS
app\page.tsx,966,light,"flex items-center justify-center gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,966,dark,"flex items-center justify-center gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,967,light,"text-xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,967,dark,"text-xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,976,light,"mb-8 rounded-xl border-2 border-red-300 bg-red-50 px-6 py-4 shadow-lg",#0f172a,#ffffff,17.85,PASS
app\page.tsx,976,dark,"mb-8 rounded-xl border-2 border-red-300 bg-red-50 px-6 py-4 shadow-lg",#e6eef8,#0b1220,16,PASS
app\page.tsx,977,light,"flex items-start gap-3",#0f172a,#ffffff,17.85,PASS
app\page.tsx,977,dark,"flex items-start gap-3",#e6eef8,#0b1220,16,PASS
app\page.tsx,978,light,"text-2xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,978,dark,"text-2xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,980,light,"font-bold text-red-900",#0f172a,#ffffff,17.85,PASS
app\page.tsx,980,dark,"font-bold text-red-900",#e6eef8,#0b1220,16,PASS
app\page.tsx,981,light,"mt-1 text-sm text-red-700",#0f172a,#ffffff,17.85,PASS
app\page.tsx,981,dark,"mt-1 text-sm text-red-700",#e6eef8,#0b1220,16,PASS
app\page.tsx,995,light,"mb-6 flex flex-wrap items-center justify-between gap-4 rounded-xl bg-white/80 backdrop-blur-sm px-6 py-4 shadow-lg",#0f172a,#ffffff,17.85,PASS
app\page.tsx,995,dark,"mb-6 flex flex-wrap items-center justify-between gap-4 rounded-xl bg-white/80 backdrop-blur-sm px-6 py-4 shadow-lg",#e6eef8,#0b1220,16,PASS
app\page.tsx,996,light,"flex items-center gap-3",#0f172a,#ffffff,17.85,PASS
app\page.tsx,996,dark,"flex items-center gap-3",#e6eef8,#0b1220,16,PASS
app\page.tsx,997,light,"flex h-10 w-10 items-center justify-center rounded-full bg-blue-100 text-xl",#0f172a,#dbeafe,14.63,PASS
app\page.tsx,997,dark,"flex h-10 w-10 items-center justify-center rounded-full bg-blue-100 text-xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,1001,light,"text-sm font-semibold text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1001,dark,"text-sm font-semibold text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,1004,light,"text-2xl font-bold text-gray-900",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1004,dark,"text-2xl font-bold text-gray-900",#e6eef8,#0b1220,16,PASS
app\page.tsx,1010,light,"flex items-center gap-2",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1010,dark,"flex items-center gap-2",#e6eef8,#0b1220,16,PASS
app\page.tsx,1011,light,"flex h-2.5 w-2.5 items-center justify-center",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1011,dark,"flex h-2.5 w-2.5 items-center justify-center",#e6eef8,#0b1220,16,PASS
app\page.tsx,1012,light,"absolute h-2.5 w-2.5 animate-ping rounded-full bg-green-400 opacity-75",#0f172a,#34d399,9.29,PASS
app\page.tsx,1012,dark,"absolute h-2.5 w-2.5 animate-ping rounded-full bg-green-400 opacity-75",#e6eef8,#0b1220,16,PASS
app\page.tsx,1013,light,"relative h-2 w-2 rounded-full bg-green-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1013,dark,"relative h-2 w-2 rounded-full bg-green-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,1015,light,"text-right",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1015,dark,"text-right",#e6eef8,#0b1220,16,PASS
app\page.tsx,1016,light,"text-xs font-semibold text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1016,dark,"text-xs font-semibold text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,1019,light,"text-sm font-bold tabular-nums text-gray-900",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1019,dark,"text-sm font-bold tabular-nums text-gray-900",#e6eef8,#0b1220,16,PASS
app\page.tsx,1027,light,"space-y-5",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1027,dark,"space-y-5",#e6eef8,#0b1220,16,PASS
app\page.tsx,1039,light,"rounded-2xl border-2 border-gray-200 bg-white p-12 text-center shadow-lg",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1039,dark,"rounded-2xl border-2 border-gray-200 bg-white p-12 text-center shadow-lg",#e6eef8,#0b1220,16,PASS
app\page.tsx,1040,light,"text-6xl",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1040,dark,"text-6xl",#e6eef8,#0b1220,16,PASS
app\page.tsx,1041,light,"mt-4 text-xl font-bold text-gray-900",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1041,dark,"mt-4 text-xl font-bold text-gray-900",#e6eef8,#0b1220,16,PASS
app\page.tsx,1044,light,"mt-2 text-gray-500",#6b7280,#ffffff,4.83,PASS
app\page.tsx,1044,dark,"mt-2 text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,1053,light,"mt-12 border-t-2 border-white/50 pt-8 text-center",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1053,dark,"mt-12 border-t-2 border-white/50 pt-8 text-center",#e6eef8,#0b1220,16,PASS
app\page.tsx,1054,light,"mx-auto max-w-2xl px-6 py-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,1054,dark,"mx-auto max-w-2xl px-6 py-4",#e6eef8,#0b1220,16,PASS
